Region,Rt_avg_14days,Rt_range_14days_lower,Rt_range_14days_upper,computation_time_range_start,computation_time_range_end
Puglia,1.03,0.94,1.18,2020-12-15,2020-12-28
Sardegna,0.95,0.78,1.11,2020-12-15,2020-12-28
Sicilia,1.03,0.93,1.16,2020-12-15,2020-12-28
Toscana,0.91,0.73,1.17,2020-12-15,2020-12-28
Trento,0.87,0.69,1.08,2020-12-15,2020-12-28
Umbria,1.00,0.74,1.43,2020-12-15,2020-12-28
Valle d'Aosta,1.09,0.68,1.58,2020-12-15,2020-12-28
Veneto,1.00,0.94,1.11,2020-12-15,2020-12-28
Abruzzo,1.12,0.88,1.27,2020-12-23,2021-01-05
Basilicata,1.22,0.93,1.62,2020-12-23,2021-01-05
Bolzano,1.24,0.83,1.58,2020-12-23,2021-01-05
Calabria,1.10,0.94,1.27,2020-12-23,2021-01-05
Campania,0.85,0.67,1.08,2020-12-23,2021-01-05
Emilia R.,1.12,1.05,1.20,2020-12-23,2021-01-05
Friuli V.G.,0.93,0.74,1.11,2020-12-23,2021-01-05
Lazio,1.07,0.93,1.22,2020-12-23,2021-01-05
Liguria,1.09,0.95,1.23,2020-12-23,2021-01-05
Lombardia,1.39,1.31,1.47,2020-12-23,2021-01-05
Marche,1.01,0.87,1.25,2020-12-23,2021-01-05
Molise,0.98,0.46,1.65,2020-12-23,2021-01-05
Piemonte,1.09,0.96,1.18,2020-12-23,2021-01-05
Puglia,1.14,1.00,1.25,2020-12-23,2021-01-05
Sardegna,1.00,0.89,1.18,2020-12-23,2021-01-05
Sicilia,1.18,1.00,1.43,2020-12-23,2021-01-05
Toscana,1.02,0.86,1.25,2020-12-23,2021-01-05
Trento,0.93,0.58,1.16,2020-12-23,2021-01-05
Umbria,1.21,0.96,1.38,2020-12-23,2021-01-05
Valle d'Aosta,1.23,0.85,1.71,2020-12-23,2021-01-05
Veneto,0.95,0.86,1.02,2020-12-23,2021-01-05
Abruzzo,1.05,0.80,1.28,2020-12-30,2021-01-12
Basilicata,1.17,0.87,1.54,2020-12-30,2021-01-12
Bolzano,1.08,0.60,1.63,2020-12-30,2021-01-12
Calabria,1.00,0.73,1.23,2020-12-30,2021-01-12
Campania,0.90,0.59,1.40,2020-12-30,2021-01-12
Emilia R.,1.00,0.85,1.20,2020-12-30,2021-01-12
Friuli V.G.,0.89,0.65,1.15,2020-12-30,2021-01-12
Lazio,0.97,0.77,1.22,2020-12-30,2021-01-12
Liguria,1.04,0.92,1.21,2020-12-30,2021-01-12
Lombardia,0.84,0.75,0.93,2020-12-30,2021-01-12
Marche,0.99,0.84,1.18,2020-12-30,2021-01-12
Molise,1.29,0.47,2.41,2020-12-30,2021-01-12
Piemonte,1.05,0.85,1.20,2020-12-30,2021-01-12
Puglia,1.10,0.93,1.28,2020-12-30,2021-01-12
Sardegna,0.97,0.81,1.11,2020-12-30,2021-01-12
Sicilia,1.27,1.13,1.38,2020-12-30,2021-01-12
Toscana,1.01,0.87,1.12,2020-12-30,2021-01-12
Trento,0.89,0.41,1.33,2020-12-30,2021-01-12
Umbria,1.11,0.93,1.37,2020-12-30,2021-01-12
Valle d'Aosta,1.08,0.68,1.51,2020-12-30,2021-01-12
Veneto,0.83,0.67,1.00,2020-12-30,2021-01-12
Abruzzo,0.92,0.75,1.18,2021-01-06,2021-01-19
Basilicata,0.89,0.41,1.36,2021-01-06,2021-01-19
Bolzano,0.88,0.72,1.13,2021-01-06,2021-01-19
Calabria,0.86,0.59,1.18,2021-01-06,2021-01-19
Campania,0.94,0.74,1.15,2021-01-06,2021-01-19
Emilia R.,0.84,0.73,1.00,2021-01-06,2021-01-19
Friuli V.G.,0.82,0.64,1.10,2021-01-06,2021-01-19
Lazio,0.80,0.70,0.99,2021-01-06,2021-01-19
Liguria,0.94,0.80,1.13,2021-01-06,2021-01-19
Lombardia,0.92,0.79,1.05,2021-01-06,2021-01-19
Marche,0.95,0.78,1.14,2021-01-06,2021-01-19
Molise,1.39,0.80,2.16,2021-01-06,2021-01-19
Piemonte,0.89,0.76,1.09,2021-01-06,2021-01-19
Puglia,0.95,0.84,1.15,2021-01-06,2021-01-19
Sardegna,0.85,0.65,1.10,2021-01-06,2021-01-19
Sicilia,1.04,0.75,1.35,2021-01-06,2021-01-19
Toscana,0.96,0.86,1.15,2021-01-06,2021-01-19
Trento,0.67,0.34,1.14,2021-01-06,2021-01-19
Umbria,1.03,0.89,1.30,2021-01-06,2021-01-19
Valle d'Aosta,0.92,0.63,1.32,2021-01-06,2021-01-19
Veneto,0.68,0.57,0.84,2021-01-06,2021-01-19
Abruzzo,1.00,0.78,1.43,2021-01-13,2021-01-26
Basilicata,0.83,0.42,1.54,2021-01-13,2021-01-26
Bolzano,1.00,0.76,1.20,2021-01-13,2021-01-26
Calabria,0.85,0.69,1.09,2021-01-13,2021-01-26
Campania,0.85,0.69,1.07,2021-01-13,2021-01-26
Emilia R.,0.84,0.72,1.06,2021-01-13,2021-01-26
Friuli V.G.,0.96,0.67,1.24,2021-01-13,2021-01-26
Lazio,0.82,0.70,1.06,2021-01-13,2021-01-26
Liguria,0.96,0.80,1.25,2021-01-13,2021-01-26
Lombardia,0.90,0.77,1.03,2021-01-13,2021-01-26
Marche,0.96,0.84,1.18,2021-01-13,2021-01-26
Molise,1.13,0.62,1.94,2021-01-13,2021-01-26
Piemonte,0.82,0.72,0.99,2021-01-13,2021-01-26
Puglia,0.94,0.83,1.19,2021-01-13,2021-01-26
Sardegna,0.79,0.64,0.99,2021-01-13,2021-01-26
Sicilia,0.78,0.66,1.04,2021-01-13,2021-01-26
Toscana,1.02,0.87,1.31,2021-01-13,2021-01-26
Trento,0.60,0.47,0.72,2021-01-13,2021-01-26
Umbria,1.16,0.90,1.47,2021-01-13,2021-01-26
Valle d'Aosta,0.83,0.58,1.16,2021-01-13,2021-01-26
Veneto,0.65,0.58,0.80,2021-01-13,2021-01-26
Abruzzo,1.18,0.94,1.39,2021-01-20,2021-02-02
Basilicata,0.99,0.53,1.45,2021-01-20,2021-02-02
Bolzano,1.38,1.15,1.75,2021-01-20,2021-02-02
Calabria,0.84,0.70,1.01,2021-01-20,2021-02-02
Campania,0.90,0.69,1.36,2021-01-20,2021-02-02
Emilia R.,0.95,0.82,1.19,2021-01-20,2021-02-02
Friuli V.G.,0.98,0.83,1.11,2021-01-20,2021-02-02
Lazio,0.94,0.82,1.07,2021-01-20,2021-02-02
Liguria,1.06,0.91,1.21,2021-01-20,2021-02-02
Lombardia,0.98,0.83,1.09,2021-01-20,2021-02-02
Marche,0.95,0.82,1.08,2021-01-20,2021-02-02
Molise,1.06,0.56,1.80,2021-01-20,2021-02-02
Piemonte,0.90,0.77,1.02,2021-01-20,2021-02-02
Puglia,1.03,0.89,1.14,2021-01-20,2021-02-02
Sardegna,0.87,0.76,0.99,2021-01-20,2021-02-02
Sicilia,0.71,0.63,0.82,2021-01-20,2021-02-02
Toscana,1.12,0.93,1.39,2021-01-20,2021-02-02
Trento,1.15,0.89,1.53,2021-01-20,2021-02-02
Umbria,1.24,1.10,1.39,2021-01-20,2021-02-02
Valle d'Aosta,0.90,0.56,1.44,2021-01-20,2021-02-02
Veneto,0.73,0.64,0.92,2021-01-20,2021-02-02
Abruzzo,1.21,1.09,1.35,2021-01-27,2021-02-09
Basilicata,1.15,0.66,2.20,2021-01-27,2021-02-09
Bolzano,1.14,0.99,1.31,2021-01-27,2021-02-09
Calabria,0.84,0.67,1.10,2021-01-27,2021-02-09
Campania,1.08,0.75,1.35,2021-01-27,2021-02-09
Emilia R.,1.05,0.91,1.23,2021-01-27,2021-02-09
Friuli V.G.,0.87,0.75,1.04,2021-01-27,2021-02-09
Lazio,0.97,0.91,1.05,2021-01-27,2021-02-09
Liguria,1.06,0.97,1.14,2021-01-27,2021-02-09
Lombardia,1.01,0.91,1.21,2021-01-27,2021-02-09
Marche,0.96,0.81,1.18,2021-01-27,2021-02-09
Molise,1.26,0.72,1.94,2021-01-27,2021-02-09
Piemonte,0.98,0.89,1.12,2021-01-27,2021-02-09
Puglia,1.02,0.95,1.11,2021-01-27,2021-02-09
Sardegna,0.78,0.59,0.96,2021-01-27,2021-02-09
Sicilia,0.72,0.65,0.79,2021-01-27,2021-02-09
Toscana,1.20,1.02,1.42,2021-01-27,2021-02-09
Trento,1.22,1.05,1.42,2021-01-27,2021-02-09
Umbria,1.19,1.08,1.31,2021-01-27,2021-02-09
Valle d'Aosta,0.90,0.57,1.36,2021-01-27,2021-02-09
Veneto,0.83,0.69,1.11,2021-01-27,2021-02-09
Abruzzo,1.15,1.01,1.29,2021-02-03,2021-02-16
Basilicata,1.37,0.82,1.92,2021-02-03,2021-02-16
Bolzano,0.98,0.80,1.22,2021-02-03,2021-02-16
Calabria,0.89,0.69,1.12,2021-02-03,2021-02-16
Campania,1.09,0.85,1.32,2021-02-03,2021-02-16
Emilia R.,1.12,1.04,1.23,2021-02-03,2021-02-16
Friuli V.G.,0.85,0.76,1.05,2021-02-03,2021-02-16
Lazio,0.95,0.85,1.03,2021-02-03,2021-02-16
Liguria,1.01,0.88,1.16,2021-02-03,2021-02-16
Lombardia,0.84,0.62,1.02,2021-02-03,2021-02-16
Marche,1.03,0.84,1.38,2021-02-03,2021-02-16
Molise,1.39,0.80,2.26,2021-02-03,2021-02-16
Piemonte,1.03,0.92,1.18,2021-02-03,2021-02-16
Puglia,0.95,0.87,1.04,2021-02-03,2021-02-16
Sardegna,0.70,0.58,0.84,2021-02-03,2021-02-16
Sicilia,0.73,0.65,0.86,2021-02-03,2021-02-16
Toscana,1.20,1.12,1.33,2021-02-03,2021-02-16
Trento,1.15,0.97,1.37,2021-02-03,2021-02-16
Umbria,1.05,0.82,1.26,2021-02-03,2021-02-16
Valle d'Aosta,1.02,0.59,1.87,2021-02-03,2021-02-16
Veneto,0.96,0.78,1.21,2021-02-03,2021-02-16
Abruzzo,1.05,0.91,1.22,2021-02-10,2021-02-23
Basilicata,1.38,0.95,1.85,2021-02-10,2021-02-23
Bolzano,0.78,0.61,0.96,2021-02-10,2021-02-23
Calabria,0.88,0.65,1.16,2021-02-10,2021-02-23
Campania,1.14,0.80,1.87,2021-02-10,2021-02-23
Emilia R.,1.18,1.07,1.41,2021-02-10,2021-02-23
Friuli V.G.,0.97,0.78,1.31,2021-02-10,2021-02-23
Lazio,1.05,0.88,1.35,2021-02-10,2021-02-23
Liguria,1.03,0.89,1.25,2021-02-10,2021-02-23
Lombardia,1.09,0.95,1.15,2021-02-10,2021-02-23
Marche,1.09,0.95,1.30,2021-02-10,2021-02-23
Molise,1.43,0.78,2.07,2021-02-10,2021-02-23
Piemonte,1.18,1.00,1.42,2021-02-10,2021-02-23
Puglia,1.00,0.86,1.27,2021-02-10,2021-02-23
Sardegna,0.73,0.59,1.01,2021-02-10,2021-02-23
Sicilia,0.81,0.69,1.02,2021-02-10,2021-02-23
Toscana,1.21,1.06,1.40,2021-02-10,2021-02-23
Trento,1.09,0.95,1.26,2021-02-10,2021-02-23
Umbria,0.89,0.76,1.13,2021-02-10,2021-02-23
Valle d'Aosta,1.21,0.67,1.76,2021-02-10,2021-02-23
Veneto,1.12,0.94,1.41,2021-02-10,2021-02-23
Abruzzo,1.00,0.85,1.12,2021-02-17,2021-03-02
Basilicata,1.39,0.96,1.83,2021-02-17,2021-03-02
Bolzano,0.63,0.51,0.78,2021-02-17,2021-03-02
Calabria,0.91,0.65,1.37,2021-02-17,2021-03-02
Campania,1.30,0.84,1.60,2021-02-17,2021-03-02
Emilia R.,1.26,1.13,1.38,2021-02-17,2021-03-02
Friuli V.G.,1.25,0.90,1.48,2021-02-17,2021-03-02
Lazio,1.18,0.97,1.36,2021-02-17,2021-03-02
Liguria,1.08,0.92,1.21,2021-02-17,2021-03-02
Lombardia,1.23,1.03,1.35,2021-02-17,2021-03-02
Marche,1.10,0.94,1.27,2021-02-17,2021-03-02
Molise,1.17,0.54,2.05,2021-02-17,2021-03-02
Piemonte,1.31,1.12,1.47,2021-02-17,2021-03-02
Puglia,1.14,0.91,1.28,2021-02-17,2021-03-02
Sardegna,0.86,0.61,1.09,2021-02-17,2021-03-02
Sicilia,0.97,0.83,1.07,2021-02-17,2021-03-02
Toscana,1.19,1.06,1.29,2021-02-17,2021-03-02
Trento,1.04,0.85,1.18,2021-02-17,2021-03-02
Umbria,0.82,0.74,0.95,2021-02-17,2021-03-02
Valle d'Aosta,1.33,0.85,1.79,2021-02-17,2021-03-02
Veneto,1.21,1.06,1.35,2021-02-17,2021-03-02
Abruzzo,0.94,0.78,1.10,2021-02-24,2021-03-09
Basilicata,1.14,0.81,1.46,2021-02-24,2021-03-09
Bolzano,0.62,0.51,0.79,2021-02-24,2021-03-09
Calabria,1.19,0.77,1.55,2021-02-24,2021-03-09
Campania,1.56,1.02,1.80,2021-02-24,2021-03-09
Emilia R.,1.19,0.96,1.40,2021-02-24,2021-03-09
Friuli V.G.,1.38,1.13,1.54,2021-02-24,2021-03-09
Lazio,1.13,0.94,1.38,2021-02-24,2021-03-09
Liguria,1.05,0.94,1.19,2021-02-24,2021-03-09
Lombardia,1.16,0.93,1.37,2021-02-24,2021-03-09
Marche,1.18,1.03,1.31,2021-02-24,2021-03-09
Molise,0.96,0.54,1.45,2021-02-24,2021-03-09
Piemonte,1.30,1.04,1.47,2021-02-24,2021-03-09
Puglia,1.21,1.04,1.33,2021-02-24,2021-03-09
Sardegna,1.02,0.82,1.21,2021-02-24,2021-03-09
Sicilia,1.02,0.88,1.11,2021-02-24,2021-03-09
Toscana,1.12,1.05,1.26,2021-02-24,2021-03-09
Trento,0.97,0.85,1.10,2021-02-24,2021-03-09
Umbria,0.91,0.75,1.06,2021-02-24,2021-03-09
Valle d'Aosta,1.44,1.02,1.98,2021-02-24,2021-03-09
Veneto,1.24,1.15,1.33,2021-02-24,2021-03-09
Abruzzo,0.89,0.79,1.01,2021-03-03,2021-03-16
Basilicata,1.02,0.71,1.44,2021-03-03,2021-03-16
Bolzano,0.74,0.56,0.88,2021-03-03,2021-03-16
Calabria,1.37,1.14,1.59,2021-03-03,2021-03-16
Campania,1.28,0.90,1.75,2021-03-03,2021-03-16
Emilia R.,1.00,0.81,1.21,2021-03-03,2021-03-16
Friuli V.G.,1.23,0.88,1.49,2021-03-03,2021-03-16
Lazio,1.01,0.92,1.14,2021-03-03,2021-03-16
Liguria,1.00,0.92,1.11,2021-03-03,2021-03-16
Lombardia,1.06,0.79,1.23,2021-03-03,2021-03-16
Marche,1.14,0.96,1.32,2021-03-03,2021-03-16
Molise,1.08,0.65,1.61,2021-03-03,2021-03-16
Piemonte,1.16,0.83,1.39,2021-03-03,2021-03-16
Puglia,1.17,1.00,1.32,2021-03-03,2021-03-16
Sardegna,1.06,0.84,1.30,2021-03-03,2021-03-16
Sicilia,1.01,0.91,1.13,2021-03-03,2021-03-16
Toscana,1.09,1.04,1.13,2021-03-03,2021-03-16
Trento,0.94,0.79,1.07,2021-03-03,2021-03-16
Umbria,0.95,0.81,1.11,2021-03-03,2021-03-16
Valle d'Aosta,1.61,1.03,2.20,2021-03-03,2021-03-16
Veneto,1.22,1.06,1.34,2021-03-03,2021-03-16
Abruzzo,0.83,0.72,0.93,2021-03-10,2021-03-23
Basilicata,1.07,0.69,1.52,2021-03-10,2021-03-23
Bolzano,0.81,0.69,1.02,2021-03-10,2021-03-23
Calabria,1.29,0.85,1.71,2021-03-10,2021-03-23
Campania,1.22,0.96,1.46,2021-03-10,2021-03-23
Emilia R.,0.87,0.78,1.02,2021-03-10,2021-03-23
Friuli V.G.,1.01,0.72,1.31,2021-03-10,2021-03-23
Lazio,0.96,0.83,1.04,2021-03-10,2021-03-23
Liguria,1.03,0.95,1.14,2021-03-10,2021-03-23
Lombardia,0.92,0.72,1.13,2021-03-10,2021-03-23
Marche,1.03,0.77,1.26,2021-03-10,2021-03-23
Molise,1.04,0.50,1.58,2021-03-10,2021-03-23
Piemonte,0.98,0.74,1.22,2021-03-10,2021-03-23
Puglia,1.10,0.95,1.23,2021-03-10,2021-03-23
Sardegna,1.18,0.92,1.54,2021-03-10,2021-03-23
Sicilia,1.09,0.98,1.21,2021-03-10,2021-03-23
Toscana,1.06,1.00,1.11,2021-03-10,2021-03-23
Trento,0.89,0.78,1.08,2021-03-10,2021-03-23
Umbria,0.88,0.75,1.03,2021-03-10,2021-03-23
Valle d'Aosta,1.61,1.22,2.20,2021-03-10,2021-03-23
Veneto,1.11,0.90,1.28,2021-03-10,2021-03-23
Abruzzo,0.86,0.75,0.99,2021-03-17,2021-03-30
Basilicata,1.16,0.81,1.56,2021-03-17,2021-03-30
Bolzano,0.85,0.70,1.03,2021-03-17,2021-03-30
Calabria,1.01,0.68,1.44,2021-03-17,2021-03-30
Campania,1.22,0.98,1.47,2021-03-17,2021-03-30
Emilia R.,0.82,0.78,0.85,2021-03-17,2021-03-30
Friuli Venezia Giulia,0.83,0.67,1.03,2021-03-17,2021-03-30
Lazio,0.90,0.76,1.01,2021-03-17,2021-03-30
Liguria,1.11,0.91,1.24,2021-03-17,2021-03-30
Lombardia,0.84,0.70,0.94,2021-03-17,2021-03-30
Marche,0.91,0.77,1.12,2021-03-17,2021-03-30
Molise,0.90,0.51,1.39,2021-03-17,2021-03-30
Piemonte,0.88,0.67,1.01,2021-03-17,2021-03-30
Puglia,1.04,0.84,1.18,2021-03-17,2021-03-30
Sardegna,1.42,1.10,1.68,2021-03-17,2021-03-30
Sicilia,1.15,0.91,1.32,2021-03-17,2021-03-30
Toscana,1.03,0.99,1.09,2021-03-17,2021-03-30
Trento,0.85,0.64,0.96,2021-03-17,2021-03-30
Umbria,0.90,0.76,1.06,2021-03-17,2021-03-30
Valle d'Aosta,1.41,1.21,1.72,2021-03-17,2021-03-30
Veneto,0.96,0.74,1.16,2021-03-17,2021-03-30
Abruzzo,0.89,0.73,1.02,2021-03-24,2021-04-06
Basilicata,1.12,0.86,1.42,2021-03-24,2021-04-06
Bolzano,0.89,0.73,1.07,2021-03-24,2021-04-06
Calabria,0.92,0.73,1.14,2021-03-24,2021-04-06
Campania,1.02,0.81,1.25,2021-03-24,2021-04-06
Emilia R.,0.78,0.68,0.86,2021-03-24,2021-04-06
Friuli Venezia Giulia,0.70,0.56,0.84,2021-03-24,2021-04-06
Lazio,0.81,0.68,0.95,2021-03-24,2021-04-06
Liguria,1.02,0.74,1.28,2021-03-24,2021-04-06
Lombardia,0.77,0.56,0.89,2021-03-24,2021-04-06
Marche,0.79,0.43,0.97,2021-03-24,2021-04-06
Molise,0.92,0.51,1.99,2021-03-24,2021-04-06
Piemonte,0.76,0.57,0.94,2021-03-24,2021-04-06
Puglia,0.92,0.73,1.12,2021-03-24,2021-04-06
Sardegna,1.31,0.73,1.72,2021-03-24,2021-04-06
Sicilia,1.08,0.88,1.30,2021-03-24,2021-04-06
Toscana,0.99,0.89,1.05,2021-03-24,2021-04-06
Trento,0.75,0.56,0.95,2021-03-24,2021-04-06
Umbria,0.89,0.69,1.09,2021-03-24,2021-04-06
Valle d'Aosta,1.27,0.87,1.59,2021-03-24,2021-04-06
Veneto,0.82,0.64,0.99,2021-03-24,2021-04-06
Abruzzo,0.85,0.74,0.99,2021-03-31,2021-04-13
Basilicata,1.15,0.90,1.44,2021-03-31,2021-04-13
Bolzano,0.78,0.58,0.96,2021-03-31,2021-04-13
Calabria,0.93,0.71,1.10,2021-03-31,2021-04-13
Campania,0.97,0.84,1.12,2021-03-31,2021-04-13
Emilia R.,0.76,0.69,0.83,2021-03-31,2021-04-13
Friuli Venezia Giulia,0.66,0.57,0.75,2021-03-31,2021-04-13
Lazio,0.80,0.73,0.88,2021-03-31,2021-04-13
Liguria,0.85,0.75,1.04,2021-03-31,2021-04-13
Lombardia,0.74,0.68,0.83,2021-03-31,2021-04-13
Marche,0.76,0.60,0.99,2021-03-31,2021-04-13
Molise,1.16,0.52,2.10,2021-03-31,2021-04-13
Piemonte,0.70,0.64,0.80,2021-03-31,2021-04-13
Puglia,0.87,0.79,0.97,2021-03-31,2021-04-13
Sardegna,1.03,0.68,1.54,2021-03-31,2021-04-13
Sicilia,1.07,1.00,1.17,2021-03-31,2021-04-13
Toscana,0.92,0.84,1.01,2021-03-31,2021-04-13
Trento,0.75,0.56,1.00,2021-03-31,2021-04-13
Umbria,0.88,0.71,1.06,2021-03-31,2021-04-13
Valle d'Aosta,0.98,0.73,1.36,2021-03-31,2021-04-13
Veneto,0.77,0.67,0.88,2021-03-31,2021-04-13
Abruzzo,0.81,0.70,0.91,2021-04-07,2021-04-20
Basilicata,1.09,0.85,1.42,2021-04-07,2021-04-20
Bolzano,0.89,0.63,1.12,2021-04-07,2021-04-20
Calabria,0.81,0.54,1.17,2021-04-07,2021-04-20
Campania,1.02,0.90,1.14,2021-04-07,2021-04-20
Emilia R.,0.80,0.71,0.93,2021-04-07,2021-04-20
Friuli Venezia Giulia,0.69,0.59,0.77,2021-04-07,2021-04-20
Lazio,0.85,0.77,0.94,2021-04-07,2021-04-20
Liguria,0.84,0.76,0.99,2021-04-07,2021-04-20
Lombardia,0.80,0.72,0.86,2021-04-07,2021-04-20
Marche,0.81,0.65,1.07,2021-04-07,2021-04-20
Molise,1.24,0.56,2.12,2021-04-07,2021-04-20
Piemonte,0.75,0.67,0.80,2021-04-07,2021-04-20
Puglia,0.88,0.80,0.97,2021-04-07,2021-04-20
Sardegna,0.84,0.63,1.10,2021-04-07,2021-04-20
Sicilia,1.05,0.82,1.19,2021-04-07,2021-04-20
Toscana,0.89,0.84,0.94,2021-04-07,2021-04-20
Trento,0.86,0.70,1.05,2021-04-07,2021-04-20
Umbria,0.91,0.75,1.07,2021-04-07,2021-04-20
Valle d'Aosta,0.85,0.72,1.06,2021-04-07,2021-04-20
Veneto,0.83,0.69,0.92,2021-04-07,2021-04-20
